City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
north bend,43.4065,-124.2243,19.02,82,100,10.29,US,1717979577
turpan,42.9333,89.1667,34.57,18,6,0.95,CN,1717979577
pandan,14.0453,124.1694,30.57,67,100,1.31,PH,1717979577
bodo,67.28,14.405,13.76,60,0,3.6,NO,1717979577
mount pearl,47.5166,-52.7813,11.09,94,100,8.23,CA,1717979577
trang,7.5,99.5,26.97,94,40,1.54,TH,1717979577
howrah,22.5892,88.3103,31.0,84,20,3.09,IN,1717979577
mabaruma,8.2,-59.7833,23.38,100,100,1.01,GY,1717979577
sittwe,20.15,92.9,28.5,81,99,2.41,MM,1717979577
dzerzhinskoye,56.8344,95.2283,13.19,82,75,4.02,RU,1717979578
n'zeto,-7.2312,12.8666,21.31,93,82,2.18,AO,1717979578
gao,16.6362,1.637,33.99,29,70,6.06,ML,1717979578
kone,-21.0595,164.8658,27.37,53,81,2.4,NC,1717979578
afaahiti,-17.75,-149.2833,25.59,87,100,6.82,PF,1717979578
klyuchi,52.2667,79.1667,20.17,82,100,3.8,RU,1717979578
ubinskoye,55.3068,79.6802,14.15,81,100,2.31,RU,1717979578
antonio enes,-16.2325,39.9086,23.37,65,91,7.22,MZ,1717979578
edmundston,47.3737,-68.3251,14.13,90,100,2.57,CA,1717979578
ribas do rio pardo,-20.4431,-53.7592,21.11,48,57,1.24,BR,1717979578
yeppoon,-23.1333,150.7333,22.36,42,0,2.92,AU,1717979578
ciudad melchor muzquiz,27.8833,-101.5167,36.31,63,60,4.08,MX,1717979579
durant,33.994,-96.3708,33.2,40,0,0.0,US,1717979519
west bay,19.3667,-81.4167,28.37,90,40,6.17,KY,1717979579
reyes,-14.3167,-67.3833,22.94,57,67,1.12,BO,1717979579
zhangjiakou,40.81,114.8794,23.67,41,7,0.45,CN,1717979579
oltinko'l,40.8011,72.1634,25.48,30,99,2.82,UZ,1717979579
sanibel,26.449,-82.0223,31.15,76,38,1.34,US,1717979579
hauterive,46.0901,3.4459,12.64,95,49,0.66,FR,1717979579
zabaykal'sk,49.6333,117.3167,21.22,45,18,3.15,RU,1717979579
timimoun,29.2639,0.231,33.21,12,0,4.12,DZ,1717979579
nadi,-17.8,177.4167,28.0,54,20,5.14,FJ,1717979580
gebeit,21.0667,36.3167,29.29,23,6,1.65,SD,1717979580
le port,-20.9373,55.2919,23.98,78,56,1.31,RE,1717979580
hingoli,19.7167,77.15,27.24,67,100,5.75,IN,1717979580
uturoa,-16.7333,-151.4333,25.79,81,69,5.66,PF,1717979580
carauari,-4.8828,-66.8958,25.64,79,86,1.13,BR,1717979580
shevchenko,48.5,35.0,20.01,56,87,2.53,UA,1717979580
zarah sharan,33.1467,68.7917,16.83,36,0,1.07,AF,1717979580
masuguru,-11.3667,38.4167,18.5,81,65,1.76,TZ,1717979580
nouadhibou,20.931,-17.0347,20.99,78,10,8.23,MR,1717979580
rongelap,11.1635,166.8941,28.54,80,100,7.29,MH,1717979581
sechura,-5.5569,-80.8222,21.22,67,3,5.97,PE,1717979581
oranjemund,-28.55,16.4333,19.03,27,39,7.89,NA,1717979581
den burg,53.0542,4.7972,12.76,78,75,3.09,NL,1717979412
itoman,26.1247,127.6694,27.27,80,75,2.06,JP,1717979581
belle fourche,44.6714,-103.8522,23.73,71,14,9.2,US,1717979479
krasnokamensk,50.0979,118.0369,19.2,55,32,2.73,RU,1717979581
hithadhoo,-0.6,73.0833,28.14,75,51,2.28,MV,1717979581
dudinka,69.4058,86.1778,3.71,94,86,3.58,RU,1717979531
lensk,60.7253,114.9278,20.01,47,0,2.29,RU,1717979581
zeya,53.75,127.2667,20.27,46,99,2.44,RU,1717979581
bambari,5.768,20.6757,21.25,94,100,0.7,CF,1717979581
al qusayr,34.5091,36.5798,20.8,68,0,1.01,SY,1717979581
la passe,45.5549,-0.8967,14.99,78,100,5.11,FR,1717979582
kailua-kona,19.6406,-155.9956,27.98,73,75,4.63,US,1717979582
labytnangi,66.6572,66.4183,6.88,85,52,1.93,RU,1717979532
mukalla,14.5425,49.1242,29.34,75,6,1.73,YE,1717979527
boguchany,58.3814,97.4531,10.48,98,5,2.24,RU,1717979532
leh,34.1667,77.5833,5.48,33,18,1.89,IN,1717979582
bull savanna,17.8868,-77.5902,25.48,84,100,5.71,JM,1717979582
jefferson city,38.5767,-92.1735,26.61,47,0,3.09,US,1717979268
gizo,-8.103,156.8419,29.88,72,52,1.7,SB,1717979582
luza,60.6308,47.2512,9.91,93,100,1.97,RU,1717979583
vila velha,-20.3297,-40.2925,19.97,94,0,1.03,BR,1717979244
prince rupert,54.3161,-130.3201,12.83,76,100,5.14,CA,1717979583
zhezqazghan,47.7833,67.7667,22.86,52,0,3.51,KZ,1717979583
kaa-khem,51.6833,94.7333,17.45,69,100,1.87,RU,1717979583
road town,18.4167,-64.6167,29.02,74,20,4.12,VG,1717979377
jinan,36.6683,116.9972,34.83,15,67,1.48,CN,1717979583
padangsidempuan,1.3667,99.2667,22.96,98,100,0.51,ID,1717979583
illizi,26.4833,8.4667,31.89,8,0,4.58,DZ,1717979583
sokol,59.4617,40.1206,13.88,74,79,2.63,RU,1717979583
cockburn town,21.4612,-71.1419,27.22,86,100,4.71,TC,1717979583
hammerfest,70.6634,23.6821,11.25,71,20,4.63,NO,1717979584
ad dabbah,18.05,30.95,32.56,15,0,3.52,SD,1717979584
laojunmiao,39.8333,97.7333,19.4,23,99,1.41,CN,1717979584
sandnessjoen,66.0217,12.6316,11.96,72,53,3.5,NO,1717979584
christchurch,-43.5333,172.6333,11.62,79,75,7.2,NZ,1717979401
mangai,-4.05,19.5333,19.5,53,74,1.18,CD,1717979498
xilin hot,43.9667,116.0333,26.33,22,96,8.82,CN,1717979584
tuy hoa,13.0833,109.3,29.73,68,97,3.38,VN,1717979584
metlili chaamba,32.2667,3.6333,28.52,17,20,1.54,DZ,1717979584
yeniseysk,58.4497,92.1703,10.53,91,100,2.24,RU,1717979584
haiku-pauwela,20.9219,-156.3051,28.43,62,20,10.8,US,1717979584
manggar,-2.8833,108.2667,28.61,79,99,3.87,ID,1717979585
sakaiminato,35.55,133.2333,22.99,78,75,1.03,JP,1717979585
chernyshevskiy,63.0128,112.4714,19.65,42,41,1.54,RU,1717979585
magadi,12.9667,77.2333,23.09,92,77,4.26,IN,1717979585
sheridan,44.8333,-106.9173,25.57,58,0,3.6,US,1717979585
mancio lima,-7.6142,-72.8958,25.04,94,0,1.54,BR,1717979585
mount gambier,-37.8333,140.7667,11.2,68,100,3.87,AU,1717979585
nguigmi,14.2495,13.1092,30.58,14,53,2.49,NE,1717979585
akureyri,65.6835,-18.0878,4.96,87,100,2.57,IS,1717979585
gadzhiyevo,69.2551,33.3362,5.81,90,66,3.6,RU,1717979585
egilsstadir,65.2653,-14.3948,4.95,75,75,4.12,IS,1717979585
faya-largeau,17.9257,19.1043,33.2,13,20,5.71,TD,1717979586
kununurra,-15.7667,128.7333,21.99,43,0,3.09,AU,1717979586
letlhakane,-21.4167,25.5833,9.35,67,0,5.91,BW,1717979586
xuchang,34.0167,113.8167,31.79,41,100,4.23,CN,1717979586
enshi,30.3,109.4833,23.59,81,100,0.38,CN,1717979586
noosa heads,-26.3833,153.15,20.06,46,11,1.63,AU,1717979586
acapulco de juarez,16.8634,-99.8901,28.9,79,100,5.14,MX,1717979586
arlington,32.7357,-97.1081,34.49,51,0,6.17,US,1717979247
basco,20.4487,121.9702,28.47,76,100,5.9,PH,1717979586
nadym,65.5333,72.5167,9.42,53,100,7.26,RU,1717979586
salmas,38.1973,44.7653,15.54,80,0,0.33,IR,1717979586
biltine,14.5333,20.9167,30.16,41,100,3.57,TD,1717979586
khairpur tamewah,29.5811,72.2364,32.54,31,100,2.14,PK,1717979587
nabire,-3.3667,135.4833,27.7,83,40,1.14,ID,1717979587
papao,-17.75,-149.55,26.48,88,100,5.88,PF,1717979587
tehran,35.6944,51.4215,28.73,13,40,3.09,IR,1717979584
sinabang,2.4803,96.3801,27.23,79,95,1.22,ID,1717979586
san matias,-16.3667,-58.4,25.01,46,7,2.9,BO,1717979587
yerofey pavlovich,53.9667,121.9667,11.84,89,100,2.1,RU,1717979587
ocean city,39.2776,-74.5746,25.1,65,40,3.34,US,1717979587
bubaque,11.2833,-15.8333,26.54,80,22,6.19,GW,1717979587
aketi,2.7388,23.7833,21.71,99,100,0.08,CD,1717979587
port shepstone,-30.7414,30.455,14.49,59,0,3.35,ZA,1717979587
constantia,44.1833,28.65,20.39,73,100,4.31,RO,1717979587
itamarandiba,-17.8572,-42.8589,13.77,96,29,1.23,BR,1717979587
quellon,-43.1167,-73.6167,9.95,86,100,5.59,CL,1717979496
wake forest,35.9799,-78.5097,28.19,71,0,0.0,US,1717979493
santander,43.4647,-3.8044,16.37,83,100,2.06,ES,1717979588
kwang binh,17.4833,106.6,30.4,65,100,1.99,VN,1717979588
freeport,40.6576,-73.5832,24.03,49,0,6.17,US,1717979588
vikulovo,56.8167,70.6107,14.99,78,100,5.32,RU,1717979588
bereeda,11.8704,51.0579,30.67,60,92,2.96,SO,1717979588
netrakona,24.8833,90.7167,28.4,86,0,4.34,BD,1717979588
leer,53.2316,7.461,10.56,89,99,3.27,DE,1717979588
karystos,38.0133,24.4161,27.33,37,0,3.13,GR,1717979588
kirensk,57.7853,108.1119,14.98,49,95,2.24,RU,1717979588
basawul,34.2475,70.8722,29.13,27,2,1.47,AF,1717979588
rabaul,-4.1967,152.1721,29.74,71,100,4.02,PG,1717979589
saint-louis,16.3333,-15.0,29.8,58,78,5.71,SN,1717979589
bastia,42.6667,9.3333,21.28,83,75,1.54,FR,1717979589
bryne,58.7354,5.6477,11.1,94,75,13.89,NO,1717979589
taitung city,22.7583,121.1444,29.15,84,75,1.54,TW,1717979589
broome,42.2506,-75.833,14.94,91,40,2.06,US,1717979589
trincomalee,8.5711,81.2335,27.51,81,52,8.88,LK,1717979589
duong dong,10.2167,103.9667,25.0,88,75,4.12,VN,1717979589
shelbyville,35.4834,-86.4603,26.4,78,40,4.63,US,1717979521
sitia,35.2,26.0986,26.66,49,0,3.97,GR,1717979590
manaure,11.7751,-72.4445,29.86,70,99,4.55,CO,1717979591
ilhabela,-23.7781,-45.3581,21.04,80,5,1.59,BR,1717979591
sylacauga,33.1732,-86.2516,32.07,66,100,2.06,US,1717979350
antofagasta,-23.65,-70.4,16.6,90,100,2.34,CL,1717978879
magadan,59.5667,150.8,8.63,84,100,1.54,RU,1717979591
paranhos,-23.8928,-55.4311,21.85,47,1,2.17,BR,1717979591
east end,34.5507,-92.341,23.94,95,99,5.76,US,1717979591
praia,14.9215,-23.5087,22.67,83,3,5.58,CV,1717979359
moshkovo,55.3053,83.6104,14.53,74,2,0.95,RU,1717979589
memmingen,47.9837,10.1853,15.23,100,100,2.06,DE,1717979591
okhotsk,59.3833,143.3,7.78,78,76,4.31,RU,1717979530
holualoa,19.6228,-155.9522,25.91,72,75,4.63,US,1717979591
nikko,36.75,139.6167,14.6,100,99,0.93,JP,1717979592
mar del plata,-38.0023,-57.5575,14.49,90,40,5.36,AR,1717979047
sigli,5.3848,95.9609,27.47,71,92,2.24,ID,1717979592
vernon,50.2581,-119.2691,25.16,32,100,2.68,CA,1717979592
labrador city,52.9463,-66.9114,20.1,41,40,3.09,CA,1717979592
nagqu,31.5,92.0,8.93,60,38,2.99,CN,1717979592
dese,11.1333,39.6333,14.92,51,74,0.38,ET,1717979592
amungan,15.3652,119.9582,30.89,63,83,2.19,PH,1717979592
winchester,51.0651,-1.3187,13.73,79,100,3.6,GB,1717979592
kalmunai,7.4167,81.8167,26.33,82,52,3.13,LK,1717979592
buta,2.7858,24.73,21.42,99,100,0.66,CD,1717979593
kapa'a,22.0752,-159.319,30.99,72,0,6.69,US,1717979591
rehoboth,-23.3167,17.0833,11.77,47,100,2.54,NA,1717979593
spearfish,44.4908,-103.8594,22.49,59,0,9.26,US,1717979587
northam,51.0333,-4.2167,13.67,87,100,9.06,GB,1717979593
thunder bay,48.4001,-89.3168,18.99,27,20,4.63,CA,1717979370
codrington,-38.2667,141.9667,11.07,64,100,4.71,AU,1717979586
kenora,49.8167,-94.4337,18.54,25,0,4.63,CA,1717979593
choma,-16.8065,26.9531,10.92,67,0,3.26,ZM,1717979593
pachino,36.7186,15.0907,22.24,72,96,4.14,IT,1717979593
jinxiang,27.4327,120.6062,22.92,98,100,1.83,CN,1717979593
lae,-6.7221,146.9847,28.0,67,12,2.52,PG,1717979593
shenjiamen,29.9576,122.298,20.29,90,100,2.91,CN,1717979593
chegdomyn,51.1167,133.0167,14.21,88,100,0.97,RU,1717979594
gazojak,41.1875,61.4036,29.09,27,100,5.96,TM,1717979594
port-vila,-17.7338,168.3219,27.78,74,20,3.6,VU,1717979380
tefe,-3.3542,-64.7114,23.92,96,71,1.34,BR,1717979594
buulobarde,3.8538,45.5674,23.51,84,77,8.16,SO,1717979594
sao jose da coroa grande,-8.8978,-35.1478,25.76,76,0,4.84,BR,1717979593
new corella,7.6,125.8667,27.47,77,100,1.71,PH,1717979594
saint-jean-de-monts,46.7833,-2.0667,12.08,83,0,4.66,FR,1717979594
bindura,-17.3019,31.3306,8.21,79,11,1.59,ZW,1717979594
san jose del cabo,23.0589,-109.6977,32.1,64,0,5.14,MX,1717979594
siluko,6.5386,5.1609,23.71,99,92,0.52,NG,1717979594
cacheu,12.2706,-16.1658,26.05,74,41,3.29,GW,1717979595
smithers,54.7804,-127.1743,22.18,35,75,1.03,CA,1717979593
pelabuhanratu,-6.9875,106.5514,27.58,79,0,1.08,ID,1717979595
valdivia,-39.8142,-73.2459,12.05,91,97,2.31,CL,1717979123
luderitz,-26.6481,15.1594,21.41,26,39,7.06,NA,1717979590
arar,30.9753,41.0381,31.01,15,0,9.26,SA,1717979595
fisterra,42.9049,-9.2629,13.75,80,5,10.23,ES,1717979595
sartana,47.1744,37.6927,19.44,83,0,3.0,UA,1717979595
kunzelsau,49.2819,9.6889,15.76,67,75,1.03,DE,1717979595
ulsteinvik,62.3432,5.8487,12.09,91,100,6.26,NO,1717979595
rengasdengklok,-6.1592,107.2981,26.07,76,12,1.35,ID,1717979595
oneonta,42.4529,-75.0638,14.56,92,100,3.59,US,1717979595
bad lausick,51.1458,12.6272,13.23,85,97,2.26,DE,1717979596
bastrop,32.7562,-91.8724,31.82,74,0,0.0,US,1717979596
bom jesus,-9.0744,-44.3586,24.39,48,37,1.09,BR,1717979435
griffith,41.5284,-87.4237,23.52,54,100,7.72,US,1717979596
todos santos,23.45,-110.2167,31.84,72,3,2.41,MX,1717979509
macomb,40.4592,-90.6718,25.97,19,40,8.23,US,1717979596
weno,7.4515,151.8468,28.97,84,100,2.06,FM,1717979596
at taj,24.2049,23.2857,26.37,24,0,4.1,LY,1717979586
turaif,31.6725,38.6637,24.14,33,0,4.63,SA,1717979596
visby,57.6409,18.296,11.01,81,40,7.2,SE,1717979349
schuylkill haven,40.6307,-76.1711,21.02,59,91,5.13,US,1717979596
sokoni,-6.4333,39.55,26.26,72,14,9.25,TZ,1717979596
tailai,46.3833,123.4,22.97,37,99,4.48,CN,1717979597
koprivnica,46.1628,16.8275,20.72,70,100,2.13,HR,1717979597
abepura,-2.6333,140.5833,29.45,79,20,2.57,ID,1717979597
wuyang,31.9925,116.2472,27.64,57,100,2.42,CN,1717979597
deming,32.2687,-107.7586,31.94,13,0,4.12,US,1717979597
mangrol,21.1167,70.1167,28.88,81,6,5.68,IN,1717979597
lakatoro,-16.0999,167.4164,28.65,63,92,4.34,VU,1717979597
ola,59.5833,151.2833,8.97,85,99,2.18,RU,1717979597
karungdong,5.8844,121.263,29.36,68,10,0.26,PH,1717979597
mogocha,53.7333,119.7667,11.86,82,99,2.55,RU,1717979597
konkwesso,10.8469,4.0984,25.33,78,100,3.71,NG,1717979597
taro,-8.3862,115.28,23.0,91,52,1.24,ID,1717979598
ljusdal,61.8288,16.0913,4.52,98,53,1.08,SE,1717979598
mount isa,-20.7333,139.5,20.87,32,6,5.66,AU,1717979598
timmins,48.4669,-81.3331,4.9,93,100,8.23,CA,1717979324
conceicao do mato dentro,-19.0372,-43.425,14.5,94,78,0.77,BR,1717979598
i-n-salah,27.1935,2.4607,36.08,13,8,4.2,DZ,1717979598
cristalina,-16.7686,-47.6136,15.28,65,70,1.4,BR,1717979598
kerikeri,-35.2268,173.9474,21.62,82,17,0.89,NZ,1717979589
kismayo,-0.3582,42.5454,25.95,79,44,8.52,SO,1717979598
yanam,16.7333,82.2167,28.35,72,99,1.6,IN,1717979598
uzgen,40.7699,73.3007,21.16,63,58,3.0,KG,1717979598
la rinconada,37.4873,-5.9826,19.47,86,0,2.57,ES,1717979598
flying fish cove,-10.4217,105.6791,26.82,89,100,4.63,CX,1717979598
pundong,-7.9522,110.3486,27.01,79,2,1.85,ID,1717979599
walvis bay,-22.9575,14.5053,17.83,61,6,3.97,NA,1717979599
dhidhdhoo,6.8833,73.1,28.76,76,100,7.69,MV,1717979599
recani,31.2846,-4.2688,27.02,16,81,3.26,MA,1717979599
lautoka,-17.6167,177.4667,27.92,54,20,5.14,FJ,1717979599
misratah,32.3754,15.0925,24.03,64,9,5.72,LY,1717979599
tibagi,-24.5094,-50.4136,15.11,80,34,1.19,BR,1717979599
cadale,2.7603,46.3222,25.93,82,100,9.52,SO,1717979599
richfield,44.8833,-93.283,21.06,56,75,6.69,US,1717979414
crane,31.3974,-102.3501,33.75,34,13,9.53,US,1717979599
tongouson,5.0214,120.1328,28.4,73,76,1.48,PH,1717979599
hemsby,52.6971,1.6918,11.66,89,100,3.22,GB,1717979600
lugovoye,42.9094,72.7178,23.28,47,100,5.0,KZ,1717979600
pangody,65.85,74.4859,9.65,62,100,6.43,RU,1717979600
beipiao,41.7919,120.7792,27.2,36,41,5.98,CN,1717979600
aban,56.67,96.06,14.05,80,91,3.86,RU,1717979600
tezu,27.9167,96.1667,29.43,61,12,1.01,IN,1717979599
pakxan,18.3778,103.6601,24.62,97,100,1.38,LA,1717979600
novodvinsk,64.4165,40.8122,7.1,88,6,2.91,RU,1717979600
urengoy,65.9667,78.3667,8.75,61,100,3.5,RU,1717979600
bikenibeu village,1.3673,173.1241,30.98,70,75,3.09,KI,1717979600
katsuura,35.1333,140.3,19.64,87,100,5.71,JP,1717979600
ribeira brava,32.65,-17.0667,20.35,77,0,1.37,PT,1717979600
ca mau,9.1769,105.15,26.32,77,100,3.4,VN,1717979190
ketchikan,55.3422,-131.6461,16.26,27,75,6.17,US,1717979601
nova vicosa,-17.8919,-39.3719,25.0,62,98,3.36,BR,1717979601
horta,38.5333,-28.6333,17.79,88,90,3.13,PT,1717979601
yung shue wan,22.2333,114.1167,29.33,87,23,4.0,HK,1717979601
longuyon,49.4455,5.6015,10.94,88,11,1.02,FR,1717979601
puerto san jose,13.9256,-90.8244,30.03,81,75,2.06,GT,1717979601
zarghun shahr,32.8473,68.4457,17.64,30,0,2.25,AF,1717979601
viedma,-40.8135,-62.9967,10.99,69,1,2.82,AR,1717979601
san ramon,37.7799,-121.978,26.12,61,0,8.23,US,1717979601
koungheul,13.9833,-14.8,28.61,47,16,4.35,SN,1717979601
yulinshi,38.2906,109.7494,26.29,30,81,2.98,CN,1717979601
xishan,27.6667,113.5,22.62,99,100,1.05,CN,1717979601
altai,46.3722,96.2583,13.62,57,14,1.59,MN,1717979601
sinop,41.7711,34.8709,16.31,65,45,3.52,TR,1717979410
dadhar,29.4753,67.6514,30.3,34,0,2.14,PK,1717979602
san andres,12.5847,-81.7006,28.01,89,20,1.03,CO,1717979602
al ghayzah,16.2079,52.176,29.31,84,5,1.76,YE,1717979602
fort bragg,35.139,-79.006,30.75,52,75,3.6,US,1717979602
